trip_id,user_id,location,time
1,14,4,1010
2,44,0,502
3,46,3,696
4,14,3,147
5,84,1,1401
6,68,1,1345
7,36,5,1526
8,55,1,1532
9,38,5,1541
10,74,3,151
11,94,1,1069
12,4,4,1425
13,48,1,852
14,98,2,635
15,19,0,1313
16,79,0,902
17,11,3,1106
18,48,2,1460
19,41,1,759
20,27,2,827
21,90,5,1036
22,55,2,1373
23,8,5,1164
24,88,1,1320
25,79,5,1698
26,86,1,43
27,31,5,368
28,73,3,108
29,77,4,1020
30,92,5,79
31,86,3,452
32,48,2,1601
33,49,1,1108
34,27,0,1163
35,86,1,653
36,30,1,1355
37,91,4,1141
38,9,3,1386
39,19,4,1607
40,28,4,1142
41,86,3,365
42,76,1,1725
43,3,5,1461
44,92,3,706
45,5,5,1037
46,44,3,272
47,8,2,1694
48,74,0,747
49,66,4,515
50,84,4,507
51,44,1,53
52,53,2,1220
53,48,4,874
54,77,2,1644
55,61,4,165
56,39,4,1562
57,70,5,342
58,3,1,453
59,44,1,1273
60,0,2,625
61,19,1,872
62,21,3,1463
63,25,3,169
64,59,1,1588
65,42,2,545
66,45,1,979
67,41,1,991
68,52,1,1028
69,85,0,101
70,22,3,1054
71,42,0,920
72,76,1,508
73,31,1,1411
74,34,3,714
75,47,5,1182
76,2,3,471
77,94,0,294
78,22,4,1529
79,59,3,1289
80,89,5,443
81,75,1,887
82,8,2,910
83,26,2,671
84,74,2,801
85,47,5,1411
86,49,5,1217
87,81,1,184
88,41,2,546
89,53,5,686
90,5,1,643
91,79,2,740
92,74,4,1387
93,8,2,1652
94,96,5,1697
95,41,4,1683
96,87,0,965
97,76,1,1321
98,16,3,731
99,52,2,870
100,15,0,1379
101,9,4,1574
102,97,3,392
103,83,1,809
104,88,2,196
105,24,5,1284
106,74,3,57
107,54,1,800
108,27,0,76
109,63,4,642
110,11,2,775
111,71,1,787
112,33,1,610
113,47,3,1395
114,21,4,921
115,89,4,1238
116,84,1,1235
117,19,4,1347
118,78,2,389
119,91,1,242
120,11,1,1365
121,84,3,518
122,45,4,470
123,8,2,1642
124,45,2,1279
125,70,5,1522
126,56,4,1422
127,61,2,1729
128,50,1,453
129,42,1,1485
130,34,4,607
131,76,1,1148
132,12,4,633
133,67,2,296
134,26,4,271
135,67,2,655
136,75,1,1190
137,97,5,972
138,70,5,1574
139,82,4,1442
140,91,1,962
141,44,2,94
142,75,2,676
143,77,1,855
144,43,1,1228
145,42,0,413
146,67,4,691
147,7,2,746
148,39,2,1241
149,48,4,1334
150,77,3,663
151,72,4,1018
152,16,1,479
153,30,3,1519
154,21,3,8
155,1,1,1565
156,97,3,1549
157,35,1,1083
158,2,4,725
159,76,2,917
160,67,1,970
161,95,5,1291
162,16,4,1245
163,5,4,586
164,66,3,1129
165,37,1,453
166,40,2,1503
167,9,1,1602
168,47,2,708
169,89,5,636
170,31,2,585
171,27,4,356
172,28,2,1503
173,64,3,637
174,73,4,757
175,96,3,477
176,46,1,1097
177,22,1,289
178,34,1,1235
179,23,1,137
180,37,2,1220
181,64,2,1390
182,67,1,1118
183,73,3,787
184,5,2,1532
185,89,3,1561
186,12,3,1523
187,32,2,1157
188,12,1,153
189,37,4,349
190,86,4,409
191,9,1,1138
192,29,4,434
193,15,1,774
194,17,4,1660
195,64,3,427
196,79,5,329
197,14,0,1596
198,49,0,217
199,82,2,231
200,54,0,793
201,57,3,1161
202,59,5,296
203,45,1,746
204,1,3,796
205,18,3,455
206,55,3,335
207,96,1,1301
208,7,3,539
209,32,1,1133
210,10,1,1707
211,99,3,1297
212,92,3,1214
213,72,4,1452
214,68,5,277
215,52,0,647
216,16,0,1347
217,73,2,852
218,21,3,987
219,43,5,587
220,42,4,1751
221,46,4,100
222,69,4,831
223,37,2,438
224,17,4,541
225,87,3,335
226,61,1,333
227,75,1,1418
228,1,3,104
229,80,4,1313
230,36,4,484
231,77,3,1261
232,48,2,529
233,95,3,1413
234,20,0,275
235,52,3,1022
236,65,1,861
237,50,1,1241
238,57,3,560
239,38,3,1039
240,79,1,161
241,52,1,926
242,93,0,444
243,27,3,1084
244,32,3,554
245,22,1,655
246,11,1,311
247,1,2,732
248,23,2,1108
249,21,1,1209
250,94,1,540
251,12,4,1009
252,20,1,1254
253,89,1,1120
254,52,4,565
255,96,2,931
256,94,4,1048
257,30,3,290
258,83,3,573
259,35,2,140
260,9,4,1348
261,4,0,650
262,89,1,1302
263,9,2,151
264,91,3,1212
265,36,3,840
266,42,5,406
267,63,3,84
268,59,5,173
269,34,2,265
270,73,4,275
271,80,4,1583
272,7,2,1472
273,76,3,223
274,37,3,1314
275,35,3,1685
276,92,4,1649
277,0,4,831
278,57,2,1567
279,1,1,451
280,42,2,419
281,68,2,1165
282,37,5,1743
283,19,1,1149
284,58,4,1490
285,77,2,981
286,6,1,742
287,43,4,1315
288,78,5,1003
289,17,0,129
290,19,1,1706
291,19,2,1225
292,38,1,661
293,17,2,752
294,58,1,1187
295,8,1,980
296,43,3,1141
297,31,2,1652
298,18,0,935
299,99,4,1610
300,32,1,1029
301,54,3,1768
302,11,2,1743
303,41,3,1150
304,2,4,836
305,92,1,220
306,67,1,1630
307,79,5,427
308,22,2,1724
309,84,2,1783
310,54,2,1034
311,54,1,511
312,57,3,1712
313,85,5,719
314,81,1,1551
315,50,1,57
316,9,3,562
317,74,2,178
318,16,1,393
319,3,3,131
320,16,0,574
321,97,0,1708
322,68,4,1618
323,6,0,184
324,98,1,1061
325,98,4,1409
326,62,5,1329
327,25,5,859
328,100,5,593
329,9,1,455
330,29,3,913
331,15,2,648
332,44,3,641
333,31,0,129
334,5,0,109
335,56,1,1550
336,99,1,963
337,44,5,1051
338,22,4,1626
339,43,5,1612
340,8,0,638
341,51,4,1324
342,55,1,999
343,30,4,940
344,23,3,1151
345,1,4,1682
346,100,2,1520
347,3,1,1310
348,10,0,552
349,22,3,559
350,97,3,588
351,85,4,295
352,98,1,1557
353,66,3,643
354,45,1,1076
355,90,1,525
356,98,5,444
357,90,3,1307
358,18,5,287
359,90,1,1394
360,53,4,553
361,66,2,1054
362,36,5,1309
363,90,1,698
364,53,4,1660
365,43,4,679
366,53,3,426
367,96,4,563
368,71,4,1580
369,94,4,1599
370,38,1,1061
371,30,5,849
372,73,4,316
373,40,4,916
374,74,5,223
375,98,1,1701
376,33,3,1771
377,43,4,1724
378,37,2,1200
379,79,4,31
380,82,4,384
381,22,2,933
382,67,4,1214
383,25,2,1210
384,94,4,278
385,86,1,691
386,54,1,839
387,5,4,1668
388,57,3,1230
389,9,2,1126
390,37,2,1091
391,1,1,873
392,43,3,1241
393,98,4,722
394,94,4,1079
395,11,0,466
396,82,2,195
397,31,4,1056
398,42,2,777
399,62,0,617
400,30,0,174
401,28,2,299
402,40,0,1729
403,10,1,1396
404,54,3,835
405,68,4,1436
406,84,1,1710
407,58,2,1441
408,84,3,1077
409,70,0,1195
410,16,3,1388
411,26,0,1345
412,45,1,1287
413,75,1,35
414,59,5,1326
415,40,2,1647
416,94,5,321
417,92,2,322
418,42,4,274
419,88,4,1112
420,26,4,1492
421,32,4,788
422,51,1,1047
423,54,1,983
424,53,5,1705
425,24,2,1488
426,54,2,1690
427,38,3,1708
428,91,3,295
429,18,3,1348
430,82,4,498
431,56,1,742
432,71,1,694
433,98,1,710
434,2,2,1446
435,66,0,1694
436,32,2,1290
437,66,1,695
438,74,2,1348
439,25,1,1471
440,15,3,1413
441,74,5,776
442,5,2,530
443,29,1,800
444,79,0,500
445,47,1,1072
446,42,3,261
447,51,1,120
448,84,1,335
449,27,4,356
450,28,2,1452
451,24,3,1758
452,72,4,81
453,81,1,516
454,60,2,750
455,26,4,797
456,15,2,666
457,88,3,1355
458,46,5,930
459,85,2,166
460,14,0,708
461,11,0,907
462,32,3,1602
463,8,5,526
464,69,5,827
465,23,2,1671
466,5,1,1131
467,49,2,873
468,81,4,1108
469,10,0,522
470,34,5,254
471,1,0,411
472,84,5,1363
473,97,3,1436
474,59,1,1568
475,12,2,768
476,8,2,423
477,4,2,987
478,75,3,512
479,70,0,210
480,10,0,1607
481,62,3,1645
482,52,3,1093
483,62,3,936
484,83,2,629
485,58,1,1326
486,84,5,172
487,49,1,139
488,33,3,5
489,73,0,306
490,93,5,855
491,18,3,643
492,7,2,1732
493,86,4,486
494,10,5,315
495,58,3,1258
496,24,0,947
497,79,1,739
498,56,3,1133
499,20,1,1550
500,34,1,647
501,89,5,283
502,88,4,1164
503,37,0,102
504,86,3,1182
505,28,3,1162
506,26,4,584
507,7,1,867
508,78,2,129
509,87,1,1361
510,95,3,1502
511,53,5,1180
512,65,0,1516
513,47,4,1505
514,2,5,1641
515,23,5,1532
516,69,4,97
517,11,3,520
518,1,2,526
519,57,2,934
520,44,5,362
521,46,4,1186
522,54,3,1224
523,87,5,900
524,95,1,144
525,67,1,435
526,70,4,771
527,68,3,1408
528,52,1,977
529,53,0,154
530,33,3,898
531,64,2,1395
532,35,3,196
533,78,2,842
534,31,1,95
535,95,3,757
536,60,2,1033
537,44,1,729
538,10,1,39
539,78,3,1729
540,93,4,1135
541,60,4,712
542,50,2,1741
543,3,0,758
544,97,4,375
545,68,0,734
546,78,3,399
547,61,1,984
548,16,4,529
549,86,2,1001
550,17,5,1299
551,28,3,340
552,19,2,809
553,97,0,1169
554,27,1,596
555,97,4,1439
556,75,4,809
557,22,2,289
558,8,2,732
559,60,1,1580
560,18,4,218
561,7,0,843
562,87,3,462
563,14,1,1170
564,14,3,322
565,55,4,1067
566,55,3,1237
567,6,3,1220
568,53,2,1017
569,36,1,1479
570,34,5,1388
571,72,4,780
572,52,1,111
573,23,3,21
574,26,1,657
575,0,2,795
576,34,0,355
577,83,4,499
578,73,5,906
579,88,4,1131
580,79,1,1301
581,23,3,1332
582,77,4,1209
583,0,4,1139
584,31,0,1797
585,44,5,938
586,37,1,854
587,57,5,1687
588,50,4,478
589,97,4,506
590,22,4,443
591,37,4,1096
